Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-11-19 00:00:00+09:00,539.65,541.19,538.62,540.84,365200,0.0,0.0
2014-11-20 00:00:00+09:00,541.99,542.81,539.14,539.93,375300,0.0,0.0
2014-11-21 00:00:00+09:00,542.32,543.98,540.95,543.98,390500,0.0,0.0
2014-11-24 00:00:00+09:00,547.5,547.73,539.82,541.93,354700,0.0,0.0
2014-11-25 00:00:00+09:00,543.47,546.98,543.36,546.34,397500,0.0,0.0
2014-11-26 00:00:00+09:00,547.85,548.1,546.58,547.34,367300,0.0,0.0
2014-11-27 00:00:00+09:00,548.46,549.32,545.46,545.97,338400,0.0,0.0
2014-11-28 00:00:00+09:00,547.29,548.01,544.51,545.08,354900,0.0,0.0
2014-12-01 00:00:00+09:00,545.08,545.23,539.13,539.45,368400,0.0,0.0
2014-12-02 00:00:00+09:00,538.99,541.55,537.53,541.53,359800,0.0,0.0
2014-12-03 00:00:00+09:00,543.24,546.0,542.64,545.02,428000,0.0,0.0
2014-12-04 00:00:00+09:00,548.18,549.46,547.2,548.16,394100,0.0,0.0
2014-12-05 00:00:00+09:00,549.92,550.92,549.27,550.85,480200,0.0,0.0
2014-12-08 00:00:00+09:00,553.11,553.11,551.19,551.4,432800,0.0,0.0
2014-12-09 00:00:00+09:00,551.73,552.38,546.57,546.57,513200,0.0,0.0
2014-12-10 00:00:00+09:00,547.79,548.21,540.42,541.96,452700,0.0,0.0
2014-12-11 00:00:00+09:00,540.3,542.6,536.32,537.21,477000,0.0,0.0
2014-12-12 00:00:00+09:00,539.69,540.13,530.83,533.67,596600,0.0,0.0
2014-12-15 00:00:00+09:00,530.58,538.92,530.1,538.09,424200,0.0,0.0
2014-12-16 00:00:00+09:00,538.1,539.39,533.24,534.15,460200,0.0,0.0
2014-12-17 00:00:00+09:00,536.83,537.17,532.68,533.06,456100,0.0,0.0
2014-12-18 00:00:00+09:00,536.4,536.63,520.93,527.52,515800,0.0,0.0
2014-12-19 00:00:00+09:00,532.05,535.99,530.96,535.51,390500,0.0,0.0
2014-12-22 00:00:00+09:00,537.89,538.78,535.12,536.78,429700,0.0,0.0
